rank,cluster_id,size,top_8_units,avg_place,winrate,top4_rate,frequency
132,194,36,"Carry_g3star_Xayah, Carry_s3star_Xin_Zhao, Shen, Rell, Yasuo, Samira, Leona, Swain",5.69,2.8%,25.0%,0.0%
133,176,71,"Carry_Lux, Carry_Swain, Karma, Ahri, Lucian, Kennen, Galio, JarvanIV",5.72,4.2%,25.4%,0.1%
134,174,42,"Carry_Ashe, Carry_Gwen, Carry_Sett, Vi, Udyr, Lee_Sin, Naafiri, Dr._Mundo",5.79,9.5%,26.2%,0.1%
135,33,171,"Carry_Ahri, Rell, Neeko, Carry_Jinx, Syndra, Poppy, Xayah, Swain",5.80,2.9%,22.8%,0.2%
136,178,45,"Carry_Ashe, Carry_Yone, Udyr, JarvanIV, Galio, Gangplank, Viego, Kai'Sa",5.80,6.7%,28.9%,0.1%
137,186,64,"Carry_s3star_Vi, Carry_Udyr, Dr._Mundo, Naafiri, Aatrox, Sett, s3star_Smolder, Lee_Sin",5.80,4.7%,31.2%,0.1%
138,41,90,"Carry_Ashe, Carry_JarvanIV, Udyr, Janna, Swain, Vi, Viego, Gangplank",5.81,7.8%,26.7%,0.1%
139,164,31,"Carry_s3star_Gnar, Carry_s3star_Dr._Mundo, Udyr, Sett, Volibear, Jinx, Naafiri, Lee_Sin",5.81,3.2%,25.8%,0.0%
140,172,67,"Carry_Ashe, Carry_K'Sante, Vi, Swain, Janna, Zyra, Udyr, Syndra",5.81,9.0%,23.9%,0.1%
141,31,157,"Carry_Janna, Carry_Swain, Vi, Carry_Ashe, Syndra, Braum, Udyr, Dr._Mundo",5.83,18.5%,29.3%,0.2%
142,108,70,"Carry_g3star_Kayle, Carry_Vi, Udyr, s3star_Zac, Aatrox, Dr._Mundo, Naafiri, Sett",5.86,2.9%,20.0%,0.1%
143,32,75,"Carry_s3star_Kog'Maw, Rakan, Janna, Carry_Neeko, Kennen, Malphite, K'Sante, JarvanIV",5.88,2.7%,30.7%,0.1%
144,100,96,"Carry_Ryze, Carry_JarvanIV, Galio, Janna, Yasuo, Kobuko, Udyr, s3star_Ziggs",5.88,7.3%,25.0%,0.1%
145,58,43,"Carry_s3star_Syndra, Carry_s3star_Rell, s3star_Ezreal, s3star_Garen, Yuumi, Swain, Malzahar, Leona",6.05,2.3%,20.9%,0.1%
146,6,138,"Carry_s3star_Darius, Carry_Kai'Sa, Kobuko, Akali, Kennen, Udyr, Ryze, Yasuo",6.22,2.9%,16.7%,0.2%
147,138,58,"Carry_s3star_Kog'Maw, Carry_Udyr, Naafiri, Dr._Mundo, Sett, Vi, Aatrox, Lee_Sin",6.34,0.0%,17.2%,0.1%
148,112,48,"Carry_Ashe, Carry_Leona, Swain, Vi, Janna, Zyra, Syndra, Udyr",6.62,2.1%,12.5%,0.1%
149,34,470,"Carry_Swain, Carry_Ashe, Vi, Janna, Syndra, Braum, Dr._Mundo, Zyra",6.80,7.5%,13.4%,0.6%
150,51,80,"Carry_Syndra, Carry_Swain, Vi, Carry_Ashe, Janna, Dr._Mundo, Braum, Udyr",6.85,10.0%,12.5%,0.1%
151,103,19,"Carry_Ashe, Carry_Volibear, Swain, Janna, Vi, Udyr, Braum, Syndra",7.11,0.0%,5.3%,0.0%
